投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
5,ストレート,148km/h,見逃し  [送球できず],西 純矢,勝野 昌慶,0-1,●●
6,ストレート,150km/h,見三振,西 純矢,勝野 昌慶,0-1,●●
1,スライダー,133km/h,ボール,西 純矢,岡林 勇希,0-1,●●●
2,カーブ,122km/h,見逃し,西 純矢,岡林 勇希,0-1,●●●
3,フォーク,145km/h,遊ゴロ  [バウンド高い],西 純矢,岡林 勇希,0-1,●●●
1,スライダー,132km/h,ボール,勝野 昌慶,木浪 聖也,0-1,●
2,フォーク,139km/h,ボール,勝野 昌慶,木浪 聖也,0-1,●
3,フォーク,138km/h,見逃し,勝野 昌慶,木浪 聖也,0-1,●
4,スライダー,135km/h,ファウル,勝野 昌慶,木浪 聖也,0-1,●
5,フォーク,140km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],勝野 昌慶,木浪 聖也,0-1,●
1,スライダー,135km/h,空振り,勝野 昌慶,西 純矢,0-1,●●
2,ストレート,147km/h,ボール  [高めのつり球を要求],勝野 昌慶,西 純矢,0-1,●●
3,カーブ,121km/h,ファウル,勝野 昌慶,西 純矢,0-1,●●
4,ストレート,148km/h,空三振,勝野 昌慶,西 純矢,0-1,●●
1,フォーク,140km/h,見逃し,勝野 昌慶,坂本 誠志郎,0-1,●●●
2,フォーク,140km/h,ボール  [ワンバウンド],勝野 昌慶,坂本 誠志郎,0-1,●●●
3,カーブ,122km/h,ボール  [ワンバウンド],勝野 昌慶,坂本 誠志郎,0-1,●●●
4,フォーク,141km/h,空振り  [ワンバウンド],勝野 昌慶,坂本 誠志郎,0-1,●●●
5,カーブ,124km/h,右飛,勝野 昌慶,坂本 誠志郎,0-1,●●●
1,チェンジアップ,128km/h,見逃し,西 純矢,大島 洋平,0-1,●
2,フォーク,139km/h,見逃し,西 純矢,大島 洋平,0-1,●
3,ストレート,147km/h,ファウル,西 純矢,大島 洋平,0-1,●
4,フォーク,141km/h,ファウル  [自打球],西 純矢,大島 洋平,0-1,●
5,ストレート,149km/h,ボール,西 純矢,大島 洋平,0-1,●
6,チェンジアップ,131km/h,遊ゴロ,西 純矢,大島 洋平,0-1,●
1,ストレート,147km/h,ボール,西 純矢,阿部 寿樹,0-1,●
2,ストレート,148km/h,ボール  [ハーフスイング],西 純矢,阿部 寿樹,0-1,●
3,ストレート,147km/h,ボール,西 純矢,阿部 寿樹,0-1,●
4,ストレート,147km/h,見逃し,西 純矢,阿部 寿樹,0-1,●
5,ストレート,148km/h,四球,西 純矢,阿部 寿樹,0-1,●
1,カーブ,122km/h,ボール  [ワンバウンド],西 純矢,ビシエド,0-1,●
2,ストレート,148km/h,中安,西 純矢,ビシエド,0-1,●
1,ストレート,147km/h,ボール,西 純矢,A.マルティネス,0-1,●●
2,フォーク,141km/h,ファウル,西 純矢,A.マルティネス,0-1,●●
3,スライダー,130km/h,ボール,西 純矢,A.マルティネス,0-1,●●
4,スライダー,132km/h,見逃し,西 純矢,A.マルティネス,0-1,●●
5,ストレート,150km/h,見三振  [投手ガッツポーズ、投手吼える],西 純矢,A.マルティネス,0-1,●●
1,スライダー,133km/h,ボール,岩貞 祐太,高橋 周平,0-1,●●●
2,スライダー,134km/h,ボール,岩貞 祐太,高橋 周平,0-1,●●●
3,スライダー,135km/h,ボール  [ハーフスイング],岩貞 祐太,高橋 周平,0-1,●●●
4,ストレート,149km/h,見逃し,岩貞 祐太,高橋 周平,0-1,●●●
5,ストレート,150km/h,空振り,岩貞 祐太,高橋 周平,0-1,●●●
6,ストレート,151km/h,ファウル,岩貞 祐太,高橋 周平,0-1,●●●
7,ストレート,149km/h,ファウル,岩貞 祐太,高橋 周平,0-1,●●●
8,ストレート,150km/h,ファウル,岩貞 祐太,高橋 周平,0-1,●●●
9,ストレート,152km/h,ファウル,岩貞 祐太,高橋 周平,0-1,●●●
10,ストレート,151km/h,ファウル,岩貞 祐太,高橋 周平,0-1,●●●
11,スライダー,136km/h,空三振  [ガッツポーズ],岩貞 祐太,高橋 周平,0-1,●●●
1,フォーク,141km/h,ボール,勝野 昌慶,中野 拓夢,0-1,●
2,フォーク,136km/h,ボール  [ワンバウンド],勝野 昌慶,中野 拓夢,0-1,●
3,ストレート,144km/h,見逃し,勝野 昌慶,中野 拓夢,0-1,●
4,ストレート,144km/h,ボール,勝野 昌慶,中野 拓夢,0-1,●
5,ストレート,145km/h,左安  [ライン際、好返球],勝野 昌慶,中野 拓夢,0-1,●
1,ストレート,146km/h,右安,勝野 昌慶,糸原 健斗,0-1,●
1,フォーク,137km/h,ボール,勝野 昌慶,近本 光司,0-1,●●
2,フォーク,138km/h,ファウル,勝野 昌慶,近本 光司,0-1,●●
3,ストレート,146km/h,ボール  [高めのつり球を要求],勝野 昌慶,近本 光司,0-1,●●
4,スライダー,135km/h,見逃し,勝野 昌慶,近本 光司,0-1,●●
5,ストレート,146km/h,一ゴロ  [ランエンドヒット、ライン際],勝野 昌慶,近本 光司,0-1,●●
1,フォーク,143km/h,ボール,勝野 昌慶,大山 悠輔,0-1,●●
2,フォーク,138km/h,空振り,勝野 昌慶,大山 悠輔,0-1,●●
3,ストレート,145km/h,死球,勝野 昌慶,大山 悠輔,0-1,●●
1,スライダー,135km/h,ファウル,勝野 昌慶,原口 文仁,0-1,●●
2,カーブ,120km/h,ボール,勝野 昌慶,原口 文仁,0-1,●●
3,カーブ,119km/h,ファウル,勝野 昌慶,原口 文仁,0-1,●●
4,ストレート,145km/h,ボール  [高めのつり球を要求],勝野 昌慶,原口 文仁,0-1,●●
5,フォーク,140km/h,ボール  [ワンバウンド],勝野 昌慶,原口 文仁,0-1,●●
6,カーブ,122km/h,ファウル,勝野 昌慶,原口 文仁,0-1,●●
7,フォーク,139km/h,ファウル,勝野 昌慶,原口 文仁,0-1,●●
8,カーブ,122km/h,四球  [ワンバウンド],勝野 昌慶,原口 文仁,0-1,●●
1,フォーク,138km/h,空振り,勝野 昌慶,佐藤 輝明,0-3,●●
2,ストレート,146km/h,ボール,勝野 昌慶,佐藤 輝明,0-3,●●
3,ストレート,146km/h,ボール,勝野 昌慶,佐藤 輝明,0-3,●●
4,フォーク,138km/h,空振り,勝野 昌慶,佐藤 輝明,0-3,●●
5,ストレート,146km/h,ボール,勝野 昌慶,佐藤 輝明,0-3,●●
6,ストレート,148km/h,ファウル,勝野 昌慶,佐藤 輝明,0-3,●●
7,フォーク,140km/h,右２  [観客大歓声],勝野 昌慶,佐藤 輝明,0-3,●●
1,フォーク,139km/h,ボール,勝野 昌慶,木浪 聖也,0-5,●●●
2,フォーク,137km/h,ボール,勝野 昌慶,木浪 聖也,0-5,●●●
3,フォーク,137km/h,空振り,勝野 昌慶,木浪 聖也,0-5,●●●
4,ストレート,145km/h,中２  [外野前進、ヘッドスライディング],勝野 昌慶,木浪 聖也,0-5,●●●
1,ストレート,147km/h,左安,浜地 真澄,三好 大倫,0-5,
1,カーブ,122km/h,ボール,浜地 真澄,土田 龍空,0-5,
2,ストレート,146km/h,右安,浜地 真澄,土田 龍空,0-5,
1,カットボール,134km/h,ボール,浜地 真澄,溝脇 隼人,0-5,●
2,カットボール,132km/h,見逃し,浜地 真澄,溝脇 隼人,0-5,●
3,カットボール,133km/h,ファウル,浜地 真澄,溝脇 隼人,0-5,●
4,ストレート,147km/h,ファウル,浜地 真澄,溝脇 隼人,0-5,●
5,パーム,120km/h,左飛  [慌てて戻る],浜地 真澄,溝脇 隼人,0-5,●
1,カーブ,123km/h,見逃し,浜地 真澄,岡林 勇希,0-5,●●
2,パーム,123km/h,ファウル,浜地 真澄,岡林 勇希,0-5,●●
3,ストレート,147km/h,ボール,浜地 真澄,岡林 勇希,0-5,●●
4,カットボール,136km/h,ファウル,浜地 真澄,岡林 勇希,0-5,●●
5,カーブ,124km/h,一ゴロ  [引っかけ],浜地 真澄,岡林 勇希,0-5,●●
1,カットボール,132km/h,ボール,浜地 真澄,大島 洋平,0-5,●●●
2,カットボール,135km/h,空振り,浜地 真澄,大島 洋平,0-5,●●●
3,ストレート,147km/h,見逃し,浜地 真澄,大島 洋平,0-5,●●●
4,ストレート,150km/h,見三振  [構えたところにズバリ],浜地 真澄,大島 洋平,0-5,●●●
1,ストレート,144km/h,ボール,森 博人,ロハス・ジュニア,0-5,●
2,ストレート,138km/h,ファウル,森 博人,ロハス・ジュニア,0-5,●
3,ストレート,146km/h,ファウル,森 博人,ロハス・ジュニア,0-5,●
4,カーブ,128km/h,空三振,森 博人,ロハス・ジュニア,0-5,●
1,ストレート,141km/h,ボール,森 博人,坂本 誠志郎,0-5,●
2,ストレート,139km/h,見逃し,森 博人,坂本 誠志郎,0-5,●
3,ストレート,142km/h,死球,森 博人,坂本 誠志郎,0-5,●
1,カーブ,121km/h,ボール,森 博人,中野 拓夢,0-5,●●
2,ストレート,140km/h,見逃し,森 博人,中野 拓夢,0-5,●●
3,ストレート,144km/h,ファウル,森 博人,中野 拓夢,0-5,●●
4,カーブ,124km/h,二ゴロ  [泳ぎ、引っかけ],森 博人,中野 拓夢,0-5,●●
1,カーブ,124km/h,ボール,森 博人,熊谷 敬宥,0-5,●●●
2,ストレート,144km/h,見逃し,森 博人,熊谷 敬宥,0-5,●●●
3,ストレート,140km/h,ボール  [ワンバウンド],森 博人,熊谷 敬宥,0-5,●●●
4,ストレート,146km/h,空振り,森 博人,熊谷 敬宥,0-5,●●●
5,ストレート,147km/h,二ゴロ,森 博人,熊谷 敬宥,0-5,●●●
1,ストレート,152km/h,見逃し,ケラー,阿部 寿樹,0-5,●
2,カーブ,128km/h,ボール,ケラー,阿部 寿樹,0-5,●
3,カーブ,128km/h,空振り,ケラー,阿部 寿樹,0-5,●
4,ストレート,154km/h,ファウル  [高めのつり球を要求],ケラー,阿部 寿樹,0-5,●
5,ストレート,156km/h,ボール,ケラー,阿部 寿樹,0-5,●
6,カーブ,128km/h,二邪飛,ケラー,阿部 寿樹,0-5,●
1,ストレート,155km/h,見逃し,ケラー,ビシエド,0-5,●
2,ストレート,154km/h,ボール,ケラー,ビシエド,0-5,●
3,カーブ,129km/h,右安,ケラー,ビシエド,0-5,●
1,ストレート,153km/h,ボール,ケラー,A.マルティネス,0-5,●●●
2,ストレート,153km/h,ファウル,ケラー,A.マルティネス,0-5,●●●
3,ストレート,151km/h,遊併打  [詰り、リプレー検証後判定変わらず],ケラー,A.マルティネス,0-5,●●●
1,ストレート,150km/h,見逃し,根尾 昂,近本 光司,0-5,●
2,ストレート,149km/h,ボール  [高めのつり球を要求],根尾 昂,近本 光司,0-5,●
3,スライダー,134km/h,二飛  [詰り],根尾 昂,近本 光司,0-5,●
1,スライダー,134km/h,見逃し,根尾 昂,大山 悠輔,0-5,●●
2,ストレート,152km/h,ファウル,根尾 昂,大山 悠輔,0-5,●●
3,ストレート,151km/h,見三振  [全く反応できず],根尾 昂,大山 悠輔,0-5,●●
1,フォーク,146km/h,ボール  [ワンバウンド],根尾 昂,島田 海吏,0-5,●●●
2,ストレート,149km/h,ボール,根尾 昂,島田 海吏,0-5,●●●
3,ストレート,149km/h,二ゴロ  [詰り],根尾 昂,島田 海吏,0-5,●●●
1,スライダー,125km/h,ボール,岩崎 優,高橋 周平,0-5,●
2,ストレート,139km/h,二直  [バットの先],岩崎 優,高橋 周平,0-5,●
1,ストレート,139km/h,ファウル,岩崎 優,三好 大倫,0-5,●●
2,スライダー,128km/h,空振り,岩崎 優,三好 大倫,0-5,●●
3,スライダー,128km/h,空三振  [ワンバウンド、振り逃げを狙うもアウト],岩崎 優,三好 大倫,0-5,●●
1,チェンジアップ,125km/h,見逃し,岩崎 優,土田 龍空,0-5,●●●
2,ストレート,144km/h,空振り,岩崎 優,土田 龍空,0-5,●●●
3,スライダー,126km/h,空三振  [ワンバウンド],岩崎 優,土田 龍空,0-5,●●●
1,ストレート,144km/h,ボール,遠藤 淳志,吉川 尚輝,0-0,●
2,チェンジアップ,128km/h,見逃し,遠藤 淳志,吉川 尚輝,0-0,●
3,チェンジアップ,129km/h,遊ゴロ,遠藤 淳志,吉川 尚輝,0-0,●
1,カーブ,115km/h,ボール,遠藤 淳志,坂本 勇人,0-0,●
2,ストレート,144km/h,ボール,遠藤 淳志,坂本 勇人,0-0,●
3,ストレート,144km/h,ファウル,遠藤 淳志,坂本 勇人,0-0,●
4,ストレート,145km/h,ファウル,遠藤 淳志,坂本 勇人,0-0,●
5,カーブ,113km/h,左安,遠藤 淳志,坂本 勇人,0-0,●
1,ストレート,142km/h,ボール,遠藤 淳志,丸 佳浩,2-0,●
2,チェンジアップ,131km/h,ファウル,遠藤 淳志,丸 佳浩,2-0,●
3,カーブ,114km/h,ボール,遠藤 淳志,丸 佳浩,2-0,●
4,スライダー,122km/h,右本  [本塁打確信],遠藤 淳志,丸 佳浩,2-0,●
1,スライダー,130km/h,空振り  [ワンバウンド、ハーフスイング],遠藤 淳志,中田 翔,2-0,●●
2,ストレート,145km/h,空振り,遠藤 淳志,中田 翔,2-0,●●
3,ストレート,145km/h,二飛  [高々と舞い上がる],遠藤 淳志,中田 翔,2-0,●●
1,ストレート,144km/h,二飛,遠藤 淳志,岡本 和真,2-0,●●●
1,ストレート,138km/h,ボール,赤星 優志,堂林 翔太,2-0,●
2,ストレート,142km/h,見逃し,赤星 優志,堂林 翔太,2-0,●
3,ツーシーム,143km/h,空振り,赤星 優志,堂林 翔太,2-0,●
4,ストレート,145km/h,ボール,赤星 優志,堂林 翔太,2-0,●
5,フォーク,133km/h,空三振,赤星 優志,堂林 翔太,2-0,●
1,ストレート,144km/h,見逃し,赤星 優志,野間 峻祥,2-0,●●
2,ストレート,143km/h,見逃し,赤星 優志,野間 峻祥,2-0,●●
3,ツーシーム,144km/h,ボール  [ワンバウンド],赤星 優志,野間 峻祥,2-0,●●
4,フォーク,132km/h,空三振  [ワンバウンド],赤星 優志,野間 峻祥,2-0,●●
1,ストレート,146km/h,ボール,赤星 優志,西川 龍馬,2-0,●●●
2,ツーシーム,144km/h,ボール,赤星 優志,西川 龍馬,2-0,●●●
3,カットボール,135km/h,右飛,赤星 優志,西川 龍馬,2-0,●●●
1,ストレート,142km/h,見逃し,遠藤 淳志,大城 卓三,2-0,●
2,チェンジアップ,129km/h,ファウル,遠藤 淳志,大城 卓三,2-0,●
3,チェンジアップ,129km/h,ボール,遠藤 淳志,大城 卓三,2-0,●
4,チェンジアップ,132km/h,ファウル,遠藤 淳志,大城 卓三,2-0,●
5,ストレート,143km/h,ファウル,遠藤 淳志,大城 卓三,2-0,●
6,ストレート,144km/h,二飛  [詰り],遠藤 淳志,大城 卓三,2-0,●
1,チェンジアップ,131km/h,ボール  [ワンバウンド],遠藤 淳志,ウォーカー,3-0,●
2,ストレート,144km/h,見逃し,遠藤 淳志,ウォーカー,3-0,●
3,カーブ,114km/h,左中本  [本塁打確信],遠藤 淳志,ウォーカー,3-0,●
1,チェンジアップ,-,見逃し,遠藤 淳志,重信 慎之介,3-0,●●
2,ストレート,146km/h,ボール,遠藤 淳志,重信 慎之介,3-0,●●
3,ストレート,143km/h,ファウル,遠藤 淳志,重信 慎之介,3-0,●●
4,ストレート,146km/h,空三振,遠藤 淳志,重信 慎之介,3-0,●●
1,ストレート,143km/h,見逃し,遠藤 淳志,赤星 優志,3-0,●●●
2,スライダー,127km/h,見逃し,遠藤 淳志,赤星 優志,3-0,●●●
3,ストレート,145km/h,ボール,遠藤 淳志,赤星 優志,3-0,●●●
4,ストレート,144km/h,ファウル,遠藤 淳志,赤星 優志,3-0,●●●
5,スライダー,125km/h,ボール,遠藤 淳志,赤星 優志,3-0,●●●
6,ストレート,139km/h,ボール,遠藤 淳志,赤星 優志,3-0,●●●
7,ストレート,141km/h,見三振,遠藤 淳志,赤星 優志,3-0,●●●
1,ストレート,144km/h,二ゴロ  [イレギュラー],赤星 優志,松山 竜平,3-0,●
1,ツーシーム,137km/h,見逃し,赤星 優志,坂倉 将吾,3-0,●●
2,ツーシーム,136km/h,ボール,赤星 優志,坂倉 将吾,3-0,●●
3,ツーシーム,137km/h,ファウル,赤星 優志,坂倉 将吾,3-0,●●
4,ストレート,144km/h,空三振,赤星 優志,坂倉 将吾,3-0,●●
1,ストレート,143km/h,ボール,赤星 優志,上本 崇司,3-0,●●●
2,ストレート,145km/h,空振り  [ハーフスイング],赤星 優志,上本 崇司,3-0,●●●
3,ツーシーム,144km/h,三ゴロ  [詰り],赤星 優志,上本 崇司,3-0,●●●
1,ストレート,142km/h,見逃し,遠藤 淳志,吉川 尚輝,3-0,
2,ストレート,141km/h,ボール,遠藤 淳志,吉川 尚輝,3-0,
3,ストレート,142km/h,左安,遠藤 淳志,吉川 尚輝,3-0,
1,チェンジアップ,130km/h,空振り,遠藤 淳志,坂本 勇人,3-0,●
2,ストレート,142km/h,右飛,遠藤 淳志,坂本 勇人,3-0,●
1,ストレート,143km/h,ボール,遠藤 淳志,丸 佳浩,3-0,●●
2,ストレート,141km/h,見逃し,遠藤 淳志,丸 佳浩,3-0,●●
3,チェンジアップ,128km/h,遊飛,遠藤 淳志,丸 佳浩,3-0,●●
1,ストレート,142km/h,ファウル,遠藤 淳志,中田 翔,5-0,●●
2,スライダー,124km/h,ボール,遠藤 淳志,中田 翔,5-0,●●
3,ストレート,142km/h,ファウル,遠藤 淳志,中田 翔,5-0,●●
4,スライダー,124km/h,ボール  [ワンバウンド],遠藤 淳志,中田 翔,5-0,●●
5,ストレート,141km/h,左中本,遠藤 淳志,中田 翔,5-0,●●
1,ストレート,141km/h,ボール,遠藤 淳志,岡本 和真,5-0,●●
2,カーブ,115km/h,ボール,遠藤 淳志,岡本 和真,5-0,●●
3,ストレート,142km/h,見逃し,遠藤 淳志,岡本 和真,5-0,●●
4,スライダー,125km/h,ファウル,遠藤 淳志,岡本 和真,5-0,●●
5,ストレート,143km/h,ボール  [ハーフスイング],遠藤 淳志,岡本 和真,5-0,●●
6,スライダー,125km/h,四球,遠藤 淳志,岡本 和真,5-0,●●
1,ストレート,138km/h,ボール,遠藤 淳志,大城 卓三,5-0,●●
2,チェンジアップ,126km/h,ボール,遠藤 淳志,大城 卓三,5-0,●●
3,ストレート,137km/h,右安,遠藤 淳志,大城 卓三,5-0,●●
1,ストレート,154km/h,空振り  [ハーフスイング],コルニエル,ウォーカー,5-0,●●●
2,ストレート,155km/h,一ゴロ,コルニエル,ウォーカー,5-0,●●●
1,カーブ,115km/h,ボール,赤星 優志,小園 海斗,5-0,
2,ストレート,138km/h,ファウル,赤星 優志,小園 海斗,5-0,
3,ストレート,-,見逃し,赤星 優志,小園 海斗,5-0,
4,ストレート,144km/h,ファウル,赤星 優志,小園 海斗,5-0,
5,ツーシーム,145km/h,ボール,赤星 優志,小園 海斗,5-0,
6,フォーク,126km/h,ボール,赤星 優志,小園 海斗,5-0,
7,ストレート,146km/h,ファウル,赤星 優志,小園 海斗,5-0,
8,ストレート,146km/h,ファウル,赤星 優志,小園 海斗,5-0,
9,フォーク,132km/h,ファウル,赤星 優志,小園 海斗,5-0,
10,カットボール,137km/h,ファウル,赤星 優志,小園 海斗,5-0,
11,ストレート,148km/h,四球,赤星 優志,小園 海斗,5-0,
1,ツーシーム,141km/h,ボール,赤星 優志,磯村 嘉孝,5-0,●
2,カットボール,132km/h,ボール,赤星 優志,磯村 嘉孝,5-0,●
3,ストレート,136km/h,見逃し,赤星 優志,磯村 嘉孝,5-0,●
4,ツーシーム,139km/h,空振り,赤星 優志,磯村 嘉孝,5-0,●
5,ツーシーム,143km/h,三ゴロ  [詰り、ボテボテ],赤星 優志,磯村 嘉孝,5-0,●
1,カーブ,119km/h,見逃し,赤星 優志,羽月 隆太郎,5-0,●
2,ツーシーム,140km/h,ファウル,赤星 優志,羽月 隆太郎,5-0,●
3,カットボール,137km/h,ボール,赤星 優志,羽月 隆太郎,5-0,●
4,フォーク,132km/h,ファウル,赤星 優志,羽月 隆太郎,5-0,●
5,ストレート,142km/h,中安  [逆球],赤星 優志,羽月 隆太郎,5-0,●
1,カットボール,136km/h,ファウル,赤星 優志,堂林 翔太,5-0,●●
2,ストレート,142km/h,ボール,赤星 優志,堂林 翔太,5-0,●●
3,フォーク,125km/h,空振り,赤星 優志,堂林 翔太,5-0,●●
4,フォーク,135km/h,ボール  [ワンバウンド],赤星 優志,堂林 翔太,5-0,●●
5,カットボール,130km/h,ファウル,赤星 優志,堂林 翔太,5-0,●●
6,ツーシーム,142km/h,空三振,赤星 優志,堂林 翔太,5-0,●●
1,ストレート,142km/h,ファウル,赤星 優志,野間 峻祥,5-0,●●●
2,フォーク,133km/h,ボール,赤星 優志,野間 峻祥,5-0,●●●
3,フォーク,134km/h,ボール,赤星 優志,野間 峻祥,5-0,●●●
4,ツーシーム,142km/h,ボール,赤星 優志,野間 峻祥,5-0,●●●
5,ストレート,137km/h,見逃し,赤星 優志,野間 峻祥,5-0,●●●
6,ストレート,144km/h,中飛,赤星 優志,野間 峻祥,5-0,●●●
1,ストレート,153km/h,ファウル,コルニエル,重信 慎之介,5-0,●
2,ストレート,155km/h,ファウル,コルニエル,重信 慎之介,5-0,●
3,ストレート,156km/h,ファウル,コルニエル,重信 慎之介,5-0,●
4,スプリット,144km/h,空三振,コルニエル,重信 慎之介,5-0,●
1,ストレート,151km/h,見逃し,コルニエル,赤星 優志,5-0,●●
2,ストレート,154km/h,捕ゴロ  [詰り、ボテボテ],コルニエル,赤星 優志,5-0,●●
1,スプリット,142km/h,ボール,コルニエル,吉川 尚輝,5-0,●●●
2,ストレート,148km/h,ボール,コルニエル,吉川 尚輝,5-0,●●●
3,ストレート,155km/h,見逃し,コルニエル,吉川 尚輝,5-0,●●●
4,ストレート,154km/h,ファウル,コルニエル,吉川 尚輝,5-0,●●●
5,ストレート,157km/h,ファウル,コルニエル,吉川 尚輝,5-0,●●●
6,ストレート,148km/h,ボール  [ハーフスイング],コルニエル,吉川 尚輝,5-0,●●●
7,スプリット,144km/h,左飛  [泳ぎ、ライン際],コルニエル,吉川 尚輝,5-0,●●●
1,ツーシーム,143km/h,空振り,赤星 優志,西川 龍馬,5-0,●
2,ツーシーム,140km/h,ファウル,赤星 優志,西川 龍馬,5-0,●
3,カーブ,119km/h,ボール  [ワンバウンド],赤星 優志,西川 龍馬,5-0,●
4,ストレート,143km/h,ボール  [ワンバウンド],赤星 優志,西川 龍馬,5-0,●
5,ストレート,142km/h,左飛,赤星 優志,西川 龍馬,5-0,●
1,カーブ,120km/h,ボール,赤星 優志,松山 竜平,5-0,●●
2,カットボール,133km/h,右飛  [悔しがる],赤星 優志,松山 竜平,5-0,●●
1,カットボール,130km/h,ボール,赤星 優志,坂倉 将吾,5-0,●●
2,カットボール,140km/h,見逃し,赤星 優志,坂倉 将吾,5-0,●●
3,カットボール,134km/h,ボール,赤星 優志,坂倉 将吾,5-0,●●
4,カーブ,120km/h,ボール,赤星 優志,坂倉 将吾,5-0,●●
5,カットボール,135km/h,四球,赤星 優志,坂倉 将吾,5-0,●●
1,フォーク,132km/h,見逃し,赤星 優志,大盛 穂,5-0,●●
2,ツーシーム,134km/h,ボール,赤星 優志,大盛 穂,5-0,●●
3,フォーク,133km/h,空振り,赤星 優志,大盛 穂,5-0,●●
4,ストレート,-,中安,赤星 優志,大盛 穂,5-0,●●
1,フォーク,133km/h,ボール,赤星 優志,小園 海斗,5-0,●●
2,ツーシーム,135km/h,見逃し,赤星 優志,小園 海斗,5-0,●●
3,ストレート,140km/h,ボール  [高めのつり球を要求],赤星 優志,小園 海斗,5-0,●●
4,ツーシーム,139km/h,ボール,赤星 優志,小園 海斗,5-0,●●
5,カーブ,121km/h,四球  [ワンバウンド],赤星 優志,小園 海斗,5-0,●●
1,ストレート,135km/h,ボール,赤星 優志,磯村 嘉孝,5-0,●●●
2,カットボール,139km/h,ファウル,赤星 優志,磯村 嘉孝,5-0,●●●
3,カットボール,131km/h,ボール,赤星 優志,磯村 嘉孝,5-0,●●●
4,ストレート,144km/h,ボール,赤星 優志,磯村 嘉孝,5-0,●●●
5,ツーシーム,143km/h,ファウル,赤星 優志,磯村 嘉孝,5-0,●●●
6,ストレート,139km/h,空三振  [悔しがる],赤星 優志,磯村 嘉孝,5-0,●●●
1,ストレート,140km/h,ボール,玉村 昇悟,坂本 勇人,5-0,
2,チェンジアップ,126km/h,ファウル,玉村 昇悟,坂本 勇人,5-0,
3,スライダー,123km/h,ボール,玉村 昇悟,坂本 勇人,5-0,
4,ストレート,140km/h,ファウル,玉村 昇悟,坂本 勇人,5-0,
5,スライダー,128km/h,中安,玉村 昇悟,坂本 勇人,5-0,
1,スライダー,126km/h,ボール,玉村 昇悟,丸 佳浩,5-0,●
2,スライダー,127km/h,ファウル,玉村 昇悟,丸 佳浩,5-0,●
3,ストレート,140km/h,中飛  [痛烈な当たり、後ろ向きにキャッチ],玉村 昇悟,丸 佳浩,5-0,●
1,ストレート,138km/h,見逃し,玉村 昇悟,中田 翔,5-0,●●
2,シュート,136km/h,ファウル,玉村 昇悟,中田 翔,5-0,●●
3,ストレート,141km/h,ボール,玉村 昇悟,中田 翔,5-0,●●
4,ストレート,140km/h,ボール,玉村 昇悟,中田 翔,5-0,●●
5,チェンジアップ,127km/h,二ゴロ  [スライディングキャッチ、併殺崩れ],玉村 昇悟,中田 翔,5-0,●●
1,カーブ,97km/h,ボール,玉村 昇悟,岡本 和真,5-0,●●
2,チェンジアップ,127km/h,ボール,玉村 昇悟,岡本 和真,5-0,●●
3,ストレート,141km/h,ボール,玉村 昇悟,岡本 和真,5-0,●●
4,カーブ,93km/h,四球  [すっぽ抜け],玉村 昇悟,岡本 和真,5-0,●●
1,スライダー,125km/h,投ゴロ  [バットの先、ボテボテ],玉村 昇悟,大城 卓三,5-0,●●●
1,カットボール,130km/h,見逃し,赤星 優志,羽月 隆太郎,5-0,●
2,フォーク,129km/h,見逃し,赤星 優志,羽月 隆太郎,5-0,●
3,フォーク,132km/h,ボール  [ワンバウンド],赤星 優志,羽月 隆太郎,5-0,●
4,カーブ,119km/h,投ゴロ  [ジャンピングキャッチ],赤星 優志,羽月 隆太郎,5-0,●
1,カーブ,115km/h,見逃し,赤星 優志,堂林 翔太,5-0,●●
2,ツーシーム,141km/h,空振り,赤星 優志,堂林 翔太,5-0,●●
3,フォーク,131km/h,空三振,赤星 優志,堂林 翔太,5-0,●●
1,ストレート,139km/h,見逃し,赤星 優志,野間 峻祥,5-0,●●●
2,カットボール,130km/h,ボール,赤星 優志,野間 峻祥,5-0,●●●
3,カットボール,139km/h,空振り,赤星 優志,野間 峻祥,5-0,●●●
4,カットボール,138km/h,右飛  [フェンスギリギリ、ジャンピングキャッチ、フェンス激突、好プレイ],赤星 優志,野間 峻祥,5-0,●●●
1,スライダー,127km/h,空振り  [ワンバウンド、ハーフスイング],玉村 昇悟,ウォーカー,5-0,
2,ストレート,140km/h,ボール,玉村 昇悟,ウォーカー,5-0,
3,スライダー,125km/h,ファウル,玉村 昇悟,ウォーカー,5-0,
4,チェンジアップ,130km/h,ボール  [ハーフスイング],玉村 昇悟,ウォーカー,5-0,
5,ストレート,140km/h,ボール,玉村 昇悟,ウォーカー,5-0,
6,スライダー,125km/h,ファウル,玉村 昇悟,ウォーカー,5-0,
7,スライダー,127km/h,左２  [ヘッドスライディング],玉村 昇悟,ウォーカー,5-0,
1,ストレート,136km/h,ボール,玉村 昇悟,重信 慎之介,5-0,●
2,スライダー,124km/h,見逃し  [セーフティバント、バント構え],玉村 昇悟,重信 慎之介,5-0,●
3,スライダー,123km/h,空振り,玉村 昇悟,重信 慎之介,5-0,●
4,スライダー,124km/h,ファウル,玉村 昇悟,重信 慎之介,5-0,●
5,ストレート,141km/h,見三振,玉村 昇悟,重信 慎之介,5-0,●
1,ストレート,138km/h,見逃し,玉村 昇悟,増田 陸,5-0,●
