投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
3,ツーシーム,137km/h,見逃し,大野 雄大,中田 翔,2-1,●
4,フォーク,141km/h,ボール,大野 雄大,中田 翔,2-1,●
5,ストレート,147km/h,ボール,大野 雄大,中田 翔,2-1,●
6,フォーク,137km/h,四球  [ハーフスイング],大野 雄大,中田 翔,2-1,●
1,ストレート,148km/h,ファウル,大野 雄大,丸 佳浩,2-1,●●
2,カットボール,135km/h,ボール,大野 雄大,丸 佳浩,2-1,●●
3,カットボール,134km/h,ファウル,大野 雄大,丸 佳浩,2-1,●●
4,フォーク,140km/h,ボール,大野 雄大,丸 佳浩,2-1,●●
5,ストレート,149km/h,空三振,大野 雄大,丸 佳浩,2-1,●●
1,ストレート,146km/h,ボール,大野 雄大,ウィーラー,2-1,●●●
2,ストレート,146km/h,見逃し,大野 雄大,ウィーラー,2-1,●●●
3,ストレート,145km/h,ボール,大野 雄大,ウィーラー,2-1,●●●
4,ツーシーム,139km/h,ボール,大野 雄大,ウィーラー,2-1,●●●
5,ツーシーム,140km/h,投ゴロ,大野 雄大,ウィーラー,2-1,●●●
1,カーブ,123km/h,見逃し,菅野 智之,京田 陽太,2-1,●
2,ストレート,147km/h,ボール,菅野 智之,京田 陽太,2-1,●
3,ストレート,145km/h,見逃し,菅野 智之,京田 陽太,2-1,●
4,ストレート,145km/h,ファウル,菅野 智之,京田 陽太,2-1,●
5,ストレート,145km/h,ボール,菅野 智之,京田 陽太,2-1,●
6,スライダー,132km/h,ファウル,菅野 智之,京田 陽太,2-1,●
7,ストレート,145km/h,左飛,菅野 智之,京田 陽太,2-1,●
1,ストレート,146km/h,見逃し,菅野 智之,大野 雄大,2-1,●
2,ストレート,147km/h,中安,菅野 智之,大野 雄大,2-1,●
1,スライダー,133km/h,見逃し,菅野 智之,大島 洋平,2-1,●●
2,ストレート,146km/h,ボール,菅野 智之,大島 洋平,2-1,●●
3,ストレート,146km/h,中飛,菅野 智之,大島 洋平,2-1,●●
1,ツーシーム,146km/h,ボール,菅野 智之,岡林 勇希,2-1,●●
2,スライダー,130km/h,ボール,菅野 智之,岡林 勇希,2-1,●●
3,ツーシーム,146km/h,右安,菅野 智之,岡林 勇希,2-1,●●
1,フォーク,138km/h,ボール,菅野 智之,福留 孝介,2-1,●●●
2,フォーク,140km/h,見逃し,菅野 智之,福留 孝介,2-1,●●●
3,ツーシーム,147km/h,見逃し,菅野 智之,福留 孝介,2-1,●●●
4,ストレート,149km/h,ボール,菅野 智之,福留 孝介,2-1,●●●
5,ストレート,147km/h,ボール,菅野 智之,福留 孝介,2-1,●●●
6,ツーシーム,149km/h,ファウル,菅野 智之,福留 孝介,2-1,●●●
7,スライダー,136km/h,空三振  [投手ガッツポーズ],菅野 智之,福留 孝介,2-1,●●●
1,ツーシーム,133km/h,見逃し,大野 雄大,小林 誠司,2-1,●
2,ストレート,147km/h,ファウル,大野 雄大,小林 誠司,2-1,●
3,フォーク,136km/h,遊ゴロ  [逆シングル],大野 雄大,小林 誠司,2-1,●
1,ストレート,146km/h,見逃し,大野 雄大,菅野 智之,2-1,●●
2,ストレート,146km/h,空振り,大野 雄大,菅野 智之,2-1,●●
3,フォーク,138km/h,ボール,大野 雄大,菅野 智之,2-1,●●
4,ストレート,148km/h,ボール,大野 雄大,菅野 智之,2-1,●●
5,ストレート,146km/h,右飛,大野 雄大,菅野 智之,2-1,●●
1,ストレート,147km/h,空振り  [ハーフスイング],大野 雄大,吉川 尚輝,2-1,●●
2,フォーク,135km/h,見逃し,大野 雄大,吉川 尚輝,2-1,●●
3,カットボール,140km/h,一安  [バウンド高い、素手で捕球、リプレー検証後判定変わらず],大野 雄大,吉川 尚輝,2-1,●●
1,フォーク,137km/h,空振り,大野 雄大,廣岡 大志,2-1,●●
1,フォーク,137km/h,空振り,大野 雄大,廣岡 大志,2-2,●●
2,ストレート,147km/h,空振り,大野 雄大,廣岡 大志,2-2,●●
3,ストレート,148km/h,ボール  [投球が打者に当たる],大野 雄大,廣岡 大志,2-2,●●
4,ストレート,148km/h,中２  [フェンス直撃],大野 雄大,廣岡 大志,2-2,●●
1,フォーク,136km/h,ボール,大野 雄大,ポランコ,2-3,●●
2,フォーク,136km/h,右安,大野 雄大,ポランコ,2-3,●●
1,ツーシーム,134km/h,左２  [打者ガッツポーズ],大野 雄大,岡本 和真,2-4,●●
1,ツーシーム,137km/h,ボール,大野 雄大,中田 翔,2-4,●●●
2,フォーク,139km/h,三ゴロ  [ダイビングキャッチ、好プレイ],大野 雄大,中田 翔,2-4,●●●
1,ツーシーム,147km/h,ボール,菅野 智之,ビシエド,2-4,
2,ツーシーム,148km/h,ボール,菅野 智之,ビシエド,2-4,
3,ツーシーム,148km/h,ボール,菅野 智之,ビシエド,2-4,
4,ストレート,147km/h,見逃し,菅野 智之,ビシエド,2-4,
5,ツーシーム,149km/h,四球,菅野 智之,ビシエド,2-4,
1,ストレート,148km/h,ファウル,菅野 智之,木下 拓哉,2-4,●
2,ツーシーム,147km/h,ボール,菅野 智之,木下 拓哉,2-4,●
3,ツーシーム,147km/h,空振り,菅野 智之,木下 拓哉,2-4,●
4,スライダー,133km/h,ボール,菅野 智之,木下 拓哉,2-4,●
5,ツーシーム,148km/h,ファウル,菅野 智之,木下 拓哉,2-4,●
6,フォーク,141km/h,空三振  [ワンバウンド],菅野 智之,木下 拓哉,2-4,●
1,スライダー,134km/h,見逃し,菅野 智之,阿部 寿樹,2-4,●
2,ツーシーム,145km/h,ボール,菅野 智之,阿部 寿樹,2-4,●
3,ツーシーム,148km/h,右２,菅野 智之,阿部 寿樹,2-4,●
1,スライダー,136km/h,見逃し,菅野 智之,石川 昂弥,2-4,●●
2,スライダー,136km/h,ファウル,菅野 智之,石川 昂弥,2-4,●●
3,ストレート,149km/h,ボール,菅野 智之,石川 昂弥,2-4,●●
4,スライダー,137km/h,空三振  [投手ガッツポーズ],菅野 智之,石川 昂弥,2-4,●●
1,スライダー,134km/h,空振り,菅野 智之,京田 陽太,2-4,●●●
2,ストレート,146km/h,ボール,菅野 智之,京田 陽太,2-4,●●●
3,スライダー,134km/h,ボール,菅野 智之,京田 陽太,2-4,●●●
4,スライダー,136km/h,遊飛,菅野 智之,京田 陽太,2-4,●●●
1,カットボール,132km/h,ボール,大野 雄大,丸 佳浩,2-4,
2,ツーシーム,135km/h,ボール,大野 雄大,丸 佳浩,2-4,
3,ツーシーム,133km/h,ボール,大野 雄大,丸 佳浩,2-4,
4,ストレート,144km/h,右安,大野 雄大,丸 佳浩,2-4,
1,ツーシーム,132km/h,空振り,大野 雄大,ウィーラー,2-4,●
2,ストレート,144km/h,見逃し,大野 雄大,ウィーラー,2-4,●
3,フォーク,135km/h,中飛,大野 雄大,ウィーラー,2-4,●
1,ストレート,137km/h,投飛  [バント失敗],大野 雄大,小林 誠司,2-4,●●
1,ストレート,144km/h,ファウル,大野 雄大,中島 宏之,2-4,●●●
2,ストレート,143km/h,見逃し,大野 雄大,中島 宏之,2-4,●●●
3,フォーク,136km/h,ファウル,大野 雄大,中島 宏之,2-4,●●●
4,ストレート,144km/h,ファウル,大野 雄大,中島 宏之,2-4,●●●
5,フォーク,137km/h,ボール  [ワンバウンド],大野 雄大,中島 宏之,2-4,●●●
6,ストレート,144km/h,ファウル  [止めたバットに当たる],大野 雄大,中島 宏之,2-4,●●●
7,フォーク,136km/h,三ゴロ,大野 雄大,中島 宏之,2-4,●●●
1,ストレート,143km/h,左２,今村 信貴,平田 良介,2-4,
1,シュート,141km/h,見逃し,今村 信貴,大島 洋平,2-4,●
2,シュート,142km/h,見逃し,今村 信貴,大島 洋平,2-4,●
3,フォーク,132km/h,ファウル,今村 信貴,大島 洋平,2-4,●
4,ストレート,144km/h,ボール,今村 信貴,大島 洋平,2-4,●
5,フォーク,132km/h,二ゴロ,今村 信貴,大島 洋平,2-4,●
1,フォーク,135km/h,ボール,今村 信貴,岡林 勇希,2-4,●●
2,シュート,144km/h,見逃し,今村 信貴,岡林 勇希,2-4,●●
3,スライダー,118km/h,ボール,今村 信貴,岡林 勇希,2-4,●●
4,シュート,144km/h,ボール,今村 信貴,岡林 勇希,2-4,●●
5,シュート,144km/h,見逃し,今村 信貴,岡林 勇希,2-4,●●
6,フォーク,136km/h,遊ゴロ  [内野前進、野手の正面をつく、走者動けず],今村 信貴,岡林 勇希,2-4,●●
1,ストレート,144km/h,ボール,今村 信貴,福留 孝介,2-4,●●●
2,シュート,142km/h,ファウル,今村 信貴,福留 孝介,2-4,●●●
3,シュート,144km/h,左飛,今村 信貴,福留 孝介,2-4,●●●
1,スライダー,131km/h,見逃し,田島 慎二,吉川 尚輝,2-4,●
2,ストレート,147km/h,左飛,田島 慎二,吉川 尚輝,2-4,●
1,ストレート,145km/h,ボール,田島 慎二,廣岡 大志,2-4,●
2,スプリット,144km/h,ボール,田島 慎二,廣岡 大志,2-4,●
3,スプリット,142km/h,空振り,田島 慎二,廣岡 大志,2-4,●
4,ストレート,146km/h,ボール,田島 慎二,廣岡 大志,2-4,●
5,スプリット,142km/h,見逃し,田島 慎二,廣岡 大志,2-4,●
6,スプリット,143km/h,四球,田島 慎二,廣岡 大志,2-4,●
1,ストレート,147km/h,ボール,田島 慎二,ポランコ,2-4,●●
2,カットボール,144km/h,空振り,田島 慎二,ポランコ,2-4,●●
3,カットボール,144km/h,ボール,田島 慎二,ポランコ,2-4,●●
4,カットボール,144km/h,ファウル,田島 慎二,ポランコ,2-4,●●
5,ストレート,146km/h,見三振  [構えたところにズバリ],田島 慎二,ポランコ,2-4,●●
1,ストレート,146km/h,二飛  [高々と舞い上がる],田島 慎二,岡本 和真,2-4,●●●
1,ストレート,149km/h,ボール,デラロサ,ビシエド,2-4,
2,スライダー,128km/h,空振り,デラロサ,ビシエド,2-4,
3,ストレート,150km/h,ファウル,デラロサ,ビシエド,2-4,
4,ストレート,152km/h,ボール,デラロサ,ビシエド,2-4,
5,スライダー,133km/h,ボール  [ワンバウンド],デラロサ,ビシエド,2-4,
6,スライダー,131km/h,ファウル,デラロサ,ビシエド,2-4,
7,チェンジアップ,141km/h,四球  [ワンバウンド],デラロサ,ビシエド,2-4,
1,スライダー,129km/h,見逃し,デラロサ,木下 拓哉,2-4,●
2,ストレート,152km/h,ファウル,デラロサ,木下 拓哉,2-4,●
3,スライダー,132km/h,ファウル,デラロサ,木下 拓哉,2-4,●
4,ツーシーム,149km/h,ボール,デラロサ,木下 拓哉,2-4,●
5,ツーシーム,149km/h,一ゴロ  [詰り、バット折れる],デラロサ,木下 拓哉,2-4,●
1,スライダー,130km/h,ボール,デラロサ,阿部 寿樹,2-4,●●
2,スライダー,128km/h,ボール,デラロサ,阿部 寿樹,2-4,●●
3,スライダー,128km/h,見逃し,デラロサ,阿部 寿樹,2-4,●●
4,ストレート,149km/h,ボール,デラロサ,阿部 寿樹,2-4,●●
5,ストレート,148km/h,ファウル,デラロサ,阿部 寿樹,2-4,●●
6,スライダー,130km/h,二ゴロ,デラロサ,阿部 寿樹,2-4,●●
1,スライダー,131km/h,空振り,デラロサ,石川 昂弥,2-4,●●
2,スライダー,131km/h,空振り,デラロサ,石川 昂弥,2-4,●●
3,ストレート,151km/h,ボール  [ベンチに戻りかける、苦笑い],デラロサ,石川 昂弥,2-4,●●
