投球数,球種,球速,結果,投手,打者,スコア,アウトカウント
3,チェンジアップ,111km/h,ボール  [ワンバウンド],石川 雅規,西川 龍馬,3-0,●●
4,ストレート,-,ファウル,石川 雅規,西川 龍馬,3-0,●●
5,スライダー,-,中飛  [泳ぎ],石川 雅規,西川 龍馬,3-0,●●
1,カーブ,-,見逃し,石川 雅規,マクブルーム,3-0,●●
2,ストレート,-,左２,石川 雅規,マクブルーム,3-0,●●
1,スライダー,119km/h,見逃し,石川 雅規,坂倉 将吾,3-0,●●●
2,スライダー,124km/h,ボール,石川 雅規,坂倉 将吾,3-0,●●●
3,スライダー,122km/h,見逃し,石川 雅規,坂倉 将吾,3-0,●●●
4,ストレート,-,ボール,石川 雅規,坂倉 将吾,3-0,●●●
5,シンカー,-,二ゴロ  [引っかけ],石川 雅規,坂倉 将吾,3-0,●●●
1,ストレート,143km/h,ボール,森下 暢仁,石川 雅規,3-0,●
2,ストレート,139km/h,ボール,森下 暢仁,石川 雅規,3-0,●
3,ストレート,146km/h,見逃し,森下 暢仁,石川 雅規,3-0,●
4,ストレート,142km/h,ファウル,森下 暢仁,石川 雅規,3-0,●
5,ストレート,144km/h,ファウル,森下 暢仁,石川 雅規,3-0,●
6,カットボール,-,ファウル,森下 暢仁,石川 雅規,3-0,●
7,カットボール,138km/h,二ゴロ,森下 暢仁,石川 雅規,3-0,●
1,チェンジアップ,129km/h,見逃し,森下 暢仁,塩見 泰隆,3-0,●
2,カーブ,-,右２,森下 暢仁,塩見 泰隆,3-0,●
1,ストレート,149km/h,ボール,森下 暢仁,山崎 晃大朗,3-0,●
2,カットボール,140km/h,ボール,森下 暢仁,山崎 晃大朗,3-0,●
3,カーブ,113km/h,ボール,森下 暢仁,山崎 晃大朗,3-0,●
4,チェンジアップ,130km/h,四球  [ワンバウンド],森下 暢仁,山崎 晃大朗,3-0,●
1,カットボール,141km/h,ファウル,森下 暢仁,キブレハン,3-0,●●
2,ストレート,149km/h,ファウル,森下 暢仁,キブレハン,3-0,●●
3,ストレート,150km/h,ボール,森下 暢仁,キブレハン,3-0,●●
4,カーブ,119km/h,ボール,森下 暢仁,キブレハン,3-0,●●
5,チェンジアップ,132km/h,三飛  [インフィールドフライ],森下 暢仁,キブレハン,3-0,●●
1,カットボール,144km/h,ボール,森下 暢仁,村上 宗隆,3-0,●●
2,ストレート,151km/h,ボール,森下 暢仁,村上 宗隆,3-0,●●
3,カットボール,141km/h,ボール,森下 暢仁,村上 宗隆,3-0,●●
4,カットボール,140km/h,四球,森下 暢仁,村上 宗隆,3-0,●●
1,ストレート,151km/h,ボール,森下 暢仁,サンタナ,3-0,●●●
2,チェンジアップ,136km/h,ボール,森下 暢仁,サンタナ,3-0,●●●
3,ストレート,153km/h,見逃し,森下 暢仁,サンタナ,3-0,●●●
4,カットボール,143km/h,見逃し,森下 暢仁,サンタナ,3-0,●●●
5,カットボール,143km/h,見三振  [全く反応できず、投手ガッツポーズ],森下 暢仁,サンタナ,3-0,●●●
1,カーブ,-,左安,石川 雅規,堂林 翔太,3-0,
1,シンカー,120km/h,見逃し,石川 雅規,會澤 翼,3-0,●
2,シンカー,119km/h,ボール,石川 雅規,會澤 翼,3-0,●
3,スライダー,-,ファウル  [ヒットエンドラン],石川 雅規,會澤 翼,3-0,●
4,シンカー,123km/h,ファウル,石川 雅規,會澤 翼,3-0,●
5,シュート,133km/h,ボール  [ワンバウンド],石川 雅規,會澤 翼,3-0,●
6,シンカー,121km/h,ファウル,石川 雅規,會澤 翼,3-0,●
7,シンカー,122km/h,ボール  [ワンバウンド],石川 雅規,會澤 翼,3-0,●
8,シュート,-,三ゴロ  [ランエンドヒット],石川 雅規,會澤 翼,3-0,●
1,スライダー,121km/h,見逃し,石川 雅規,矢野 雅哉,3-0,●●
2,カットボール,130km/h,ボール,石川 雅規,矢野 雅哉,3-0,●●
3,シンカー,121km/h,空振り,石川 雅規,矢野 雅哉,3-0,●●
4,スライダー,124km/h,ファウル,石川 雅規,矢野 雅哉,3-0,●●
5,ストレート,132km/h,ボール,石川 雅規,矢野 雅哉,3-0,●●
6,シンカー,123km/h,ファウル  [球審に打球が直撃],石川 雅規,矢野 雅哉,3-0,●●
7,カットボール,125km/h,ファウル,石川 雅規,矢野 雅哉,3-0,●●
8,シンカー,123km/h,見三振  [判定不服],石川 雅規,矢野 雅哉,3-0,●●
1,スライダー,121km/h,三ゴロ  [ライン際、送球がバウンド],石川 雅規,森下 暢仁,3-0,●●●
1,チェンジアップ,126km/h,見逃し,森下 暢仁,宮本 丈,3-0,
2,ストレート,148km/h,ボール,森下 暢仁,宮本 丈,3-0,
3,チェンジアップ,-,一安  [強襲],森下 暢仁,宮本 丈,3-0,
1,カーブ,114km/h,ボール,森下 暢仁,内山 壮真,3-0,
2,チェンジアップ,127km/h,見逃し,森下 暢仁,内山 壮真,3-0,
3,ストレート,147km/h,ボール,森下 暢仁,内山 壮真,3-0,
4,ストレート,146km/h,ファウル,森下 暢仁,内山 壮真,3-0,
5,ストレート,-,三安  [逆シングル、ジャンピングスロー],森下 暢仁,内山 壮真,3-0,
1,カットボール,141km/h,見逃し,森下 暢仁,長岡 秀樹,3-0,●
2,ストレート,151km/h,空振り,森下 暢仁,長岡 秀樹,3-0,●
3,カットボール,141km/h,空三振,森下 暢仁,長岡 秀樹,3-0,●
1,ストレート,147km/h,ファウル  [バントファウル],森下 暢仁,石川 雅規,3-0,●●
2,ストレート,147km/h,ボール  [バント構え],森下 暢仁,石川 雅規,3-0,●●
3,ストレート,149km/h,投ゴロ  [バント失敗、好判断、併殺崩れ],森下 暢仁,石川 雅規,3-0,●●
1,ストレート,153km/h,ボール,森下 暢仁,塩見 泰隆,3-0,●●
2,チェンジアップ,134km/h,ボール  [ワンバウンド],森下 暢仁,塩見 泰隆,3-0,●●
1,ストレート,153km/h,ボール,森下 暢仁,塩見 泰隆,3-0,●●
2,チェンジアップ,134km/h,ボール  [ワンバウンド],森下 暢仁,塩見 泰隆,3-0,●●
3,ストレート,153km/h,ボール,森下 暢仁,塩見 泰隆,3-0,●●
4,ストレート,150km/h,四球,森下 暢仁,塩見 泰隆,3-0,●●
1,カットボール,-,見逃し,森下 暢仁,山崎 晃大朗,3-1,●●
2,ストレート,151km/h,空振り,森下 暢仁,山崎 晃大朗,3-1,●●
3,カットボール,141km/h,左安  [泳ぎ],森下 暢仁,山崎 晃大朗,3-1,●●
1,カーブ,117km/h,ボール,森下 暢仁,キブレハン,3-1,●●●
2,カーブ,116km/h,見逃し,森下 暢仁,キブレハン,3-1,●●●
3,ストレート,150km/h,ボール,森下 暢仁,キブレハン,3-1,●●●
4,カットボール,-,空振り  [ハーフスイング],森下 暢仁,キブレハン,3-1,●●●
5,ストレート,151km/h,空三振  [悔しがる、投手ガッツポーズ],森下 暢仁,キブレハン,3-1,●●●
1,シンカー,120km/h,ファウル,石川 雅規,中村 健人,3-1,
2,ストレート,130km/h,ファウル  [ライン際],石川 雅規,中村 健人,3-1,
3,チェンジアップ,112km/h,右安  [バットの先],石川 雅規,中村 健人,3-1,
1,スライダー,-,ファウル  [セーフティバント、バントファウル],石川 雅規,羽月 隆太郎,3-1,●
2,ストレート,131km/h,捕邪飛  [セーフティバント、バント失敗、ダイビングキャッチ、好プレイ],石川 雅規,羽月 隆太郎,3-1,●
1,ストレート,133km/h,ファウル,石川 雅規,西川 龍馬,3-1,●●
2,ストレート,132km/h,ボール,石川 雅規,西川 龍馬,3-1,●●
3,スライダー,-,中飛,石川 雅規,西川 龍馬,3-1,●●
1,シンカー,123km/h,ボール,石川 雅規,マクブルーム,3-1,●●●
2,シンカー,-,遊ゴロ  [引っかけ],石川 雅規,マクブルーム,3-1,●●●
1,カーブ,114km/h,見逃し,森下 暢仁,村上 宗隆,3-1,●
2,ストレート,150km/h,ボール,森下 暢仁,村上 宗隆,3-1,●
3,カットボール,-,遊飛  [詰り、バット折れる],森下 暢仁,村上 宗隆,3-1,●
1,チェンジアップ,132km/h,見逃し,森下 暢仁,サンタナ,3-1,●
2,ストレート,150km/h,ボール,森下 暢仁,サンタナ,3-1,●
3,ストレート,149km/h,ファウル,森下 暢仁,サンタナ,3-1,●
4,カーブ,117km/h,ボール,森下 暢仁,サンタナ,3-1,●
5,カットボール,143km/h,ファウル,森下 暢仁,サンタナ,3-1,●
6,ストレート,149km/h,ファウル,森下 暢仁,サンタナ,3-1,●
7,カットボール,142km/h,ボール,森下 暢仁,サンタナ,3-1,●
8,ストレート,153km/h,四球  [投手がっくり],森下 暢仁,サンタナ,3-1,●
1,ストレート,-,右安,森下 暢仁,宮本 丈,3-1,●
1,ストレート,147km/h,ボール,森下 暢仁,内山 壮真,3-1,●
2,カットボール,140km/h,ボール,森下 暢仁,内山 壮真,3-1,●
3,カットボール,138km/h,ボール,森下 暢仁,内山 壮真,3-1,●
4,ストレート,149km/h,見逃し,森下 暢仁,内山 壮真,3-1,●
5,チェンジアップ,-,四球  [ワンバウンド],森下 暢仁,内山 壮真,3-1,●
1,カットボール,140km/h,空振り,森下 暢仁,長岡 秀樹,3-2,●●
2,ストレート,-,中犠飛  [タッチアップ],森下 暢仁,長岡 秀樹,3-2,●●
1,ストレート,151km/h,見逃し,森下 暢仁,青木 宣親,3-2,●●●
2,カットボール,141km/h,ボール,森下 暢仁,青木 宣親,3-2,●●●
3,カットボール,142km/h,ボール,森下 暢仁,青木 宣親,3-2,●●●
4,ストレート,149km/h,ファウル,森下 暢仁,青木 宣親,3-2,●●●
5,ストレート,153km/h,ファウル,森下 暢仁,青木 宣親,3-2,●●●
6,カットボール,-,空三振,森下 暢仁,青木 宣親,3-2,●●●
1,カットボール,143km/h,ファウル,木澤 尚文,坂倉 将吾,3-2,
2,カットボール,-,左２,木澤 尚文,坂倉 将吾,3-2,
1,シュート,-,ファウル  [セーフティバント、バントファウル],木澤 尚文,堂林 翔太,3-2,●
2,カットボール,145km/h,ボール  [セーフティバント、バント構え],木澤 尚文,堂林 翔太,3-2,●
3,カットボール,143km/h,ボール  [セーフティバント、バント構え],木澤 尚文,堂林 翔太,3-2,●
4,シュート,-,ファウル  [セーフティバント、バントファウル],木澤 尚文,堂林 翔太,3-2,●
5,シュート,-,二ゴロ  [右打ち],木澤 尚文,堂林 翔太,3-2,●
1,カットボール,-,中犠飛,木澤 尚文,會澤 翼,4-2,●●
1,シュート,154km/h,ファウル,木澤 尚文,矢野 雅哉,4-2,●●
2,シュート,154km/h,ボール,木澤 尚文,矢野 雅哉,4-2,●●
3,カットボール,142km/h,ボール,木澤 尚文,矢野 雅哉,4-2,●●
4,シュート,153km/h,ボール,木澤 尚文,矢野 雅哉,4-2,●●
5,シュート,153km/h,見逃し,木澤 尚文,矢野 雅哉,4-2,●●
6,シュート,153km/h,四球,木澤 尚文,矢野 雅哉,4-2,●●
1,シュート,-,ボール,木澤 尚文,韮澤 雄也,4-2,●●●
2,シュート,-,ファウル,木澤 尚文,韮澤 雄也,4-2,●●●
3,シュート,153km/h,ファウル,木澤 尚文,韮澤 雄也,4-2,●●●
4,カットボール,-,二ゴロ,木澤 尚文,韮澤 雄也,4-2,●●●
1,ストレート,150km/h,見逃し,ケムナ 誠,塩見 泰隆,4-2,
2,フォーク,136km/h,ボール,ケムナ 誠,塩見 泰隆,4-2,
3,ストレート,151km/h,空振り,ケムナ 誠,塩見 泰隆,4-2,
4,フォーク,139km/h,ボール,ケムナ 誠,塩見 泰隆,4-2,
5,ストレート,151km/h,ファウル,ケムナ 誠,塩見 泰隆,4-2,
6,フォーク,137km/h,ボール  [ハーフスイング],ケムナ 誠,塩見 泰隆,4-2,
7,ストレート,-,中安,ケムナ 誠,塩見 泰隆,4-2,
1,ストレート,154km/h,空振り,ケムナ 誠,山崎 晃大朗,4-2,●
2,ストレート,153km/h,見逃し,ケムナ 誠,山崎 晃大朗,4-2,●
3,カーブ,120km/h,ボール  [ワンバウンド],ケムナ 誠,山崎 晃大朗,4-2,●
4,ストレート,151km/h,ファウル  [ランエンドヒット],ケムナ 誠,山崎 晃大朗,4-2,●
5,スライダー,138km/h,ボール,ケムナ 誠,山崎 晃大朗,4-2,●
6,ストレート,151km/h,ボール,ケムナ 誠,山崎 晃大朗,4-2,●
7,スライダー,-,三ゴロ  [バウンド高い、送球がバウンド、リプレー検証後判定覆る],ケムナ 誠,山崎 晃大朗,4-2,●
1,ストレート,150km/h,ファウル,ケムナ 誠,キブレハン,4-2,●
2,ストレート,150km/h,ボール,ケムナ 誠,キブレハン,4-2,●
3,スライダー,141km/h,ボール,ケムナ 誠,キブレハン,4-2,●
4,ストレート,152km/h,ボール,ケムナ 誠,キブレハン,4-2,●
5,スライダー,140km/h,四球,ケムナ 誠,キブレハン,4-2,●
1,ストレート,151km/h,空振り,島内 颯太郎,村上 宗隆,4-5,●
2,ストレート,153km/h,右本  [本塁打確信、バット放り投げる、ポール際、スタンド上段],島内 颯太郎,村上 宗隆,4-5,●
1,チェンジアップ,133km/h,ボール,島内 颯太郎,サンタナ,4-5,●●
2,ストレート,151km/h,見逃し,島内 颯太郎,サンタナ,4-5,●●
3,チェンジアップ,128km/h,見逃し,島内 颯太郎,サンタナ,4-5,●●
4,チェンジアップ,130km/h,中飛,島内 颯太郎,サンタナ,4-5,●●
1,チェンジアップ,129km/h,見逃し,島内 颯太郎,宮本 丈,4-5,●●●
2,チェンジアップ,130km/h,見逃し,島内 颯太郎,宮本 丈,4-5,●●●
3,ストレート,-,左飛,島内 颯太郎,宮本 丈,4-5,●●●
1,ストレート,143km/h,見逃し,久保 拓眞,中村 健人,4-5,●
2,シュート,142km/h,ボール,久保 拓眞,中村 健人,4-5,●
3,チェンジアップ,122km/h,ファウル  [ライン際],久保 拓眞,中村 健人,4-5,●
4,チェンジアップ,124km/h,ボール  [ワンバウンド],久保 拓眞,中村 健人,4-5,●
5,スライダー,127km/h,中飛,久保 拓眞,中村 健人,4-5,●
1,カーブ,99km/h,ボール,久保 拓眞,羽月 隆太郎,4-5,●●
2,スライダー,128km/h,ファウル,久保 拓眞,羽月 隆太郎,4-5,●●
3,シュート,139km/h,ボール,久保 拓眞,羽月 隆太郎,4-5,●●
4,シュート,139km/h,空振り  [ハーフスイング],久保 拓眞,羽月 隆太郎,4-5,●●
5,スライダー,131km/h,ボール,久保 拓眞,羽月 隆太郎,4-5,●●
6,ストレート,140km/h,ファウル,久保 拓眞,羽月 隆太郎,4-5,●●
7,ストレート,145km/h,ファウル  [打球がベンチに入る],久保 拓眞,羽月 隆太郎,4-5,●●
8,シュート,-,一ゴロ,久保 拓眞,羽月 隆太郎,4-5,●●
1,シュート,140km/h,見逃し,久保 拓眞,西川 龍馬,4-5,●●●
2,スライダー,128km/h,ボール,久保 拓眞,西川 龍馬,4-5,●●●
3,シュート,-,二ゴロ,久保 拓眞,西川 龍馬,4-5,●●●
1,ストレート,153km/h,ボール,ターリー,内山 壮真,4-5,●
2,ストレート,154km/h,空振り,ターリー,内山 壮真,4-5,●
3,ストレート,153km/h,見逃し,ターリー,内山 壮真,4-5,●
4,ナックルカーブ,126km/h,空三振,ターリー,内山 壮真,4-5,●
1,スライダー,-,ボール  [セーフティバント、バント構え、ハーフスイング],ターリー,長岡 秀樹,4-5,●●
2,ストレート,-,ファウル,ターリー,長岡 秀樹,4-5,●●
3,ストレート,-,三ゴロ,ターリー,長岡 秀樹,4-5,●●
1,スライダー,135km/h,見逃し,ターリー,丸山 和郁,4-5,●●●
2,ストレート,-,二ゴロ,ターリー,丸山 和郁,4-5,●●●
1,フォーク,128km/h,ボール,清水 昇,マクブルーム,4-5,●
2,フォーク,128km/h,空振り,清水 昇,マクブルーム,4-5,●
3,フォーク,128km/h,ファウル,清水 昇,マクブルーム,4-5,●
4,フォーク,130km/h,空三振,清水 昇,マクブルーム,4-5,●
1,ストレート,144km/h,見逃し,清水 昇,坂倉 将吾,4-5,●
2,ストレート,143km/h,ボール,清水 昇,坂倉 将吾,4-5,●
3,ストレート,-,左２,清水 昇,坂倉 将吾,4-5,●
1,フォーク,131km/h,ボール,清水 昇,堂林 翔太,4-5,●●
2,ストレート,147km/h,三ゴロ  [走者動けず],清水 昇,堂林 翔太,4-5,●●
1,ストレート,146km/h,ファウル,清水 昇,會澤 翼,4-5,●●●
2,ストレート,147km/h,ボール,清水 昇,會澤 翼,4-5,●●●
3,フォーク,128km/h,ファウル,清水 昇,會澤 翼,4-5,●●●
4,フォーク,129km/h,中飛,清水 昇,會澤 翼,4-5,●●●
1,ストレート,148km/h,ファウル,松本 竜也,塩見 泰隆,4-5,●
2,フォーク,134km/h,見逃し,松本 竜也,塩見 泰隆,4-5,●
3,ストレート,147km/h,ボール,松本 竜也,塩見 泰隆,4-5,●
4,フォーク,135km/h,右飛,松本 竜也,塩見 泰隆,4-5,●
1,カーブ,117km/h,見逃し,松本 竜也,山崎 晃大朗,4-5,●●
2,ストレート,147km/h,空振り  [ファウルチップ],松本 竜也,山崎 晃大朗,4-5,●●
3,カットボール,136km/h,ボール,松本 竜也,山崎 晃大朗,4-5,●●
4,ストレート,149km/h,ボール,松本 竜也,山崎 晃大朗,4-5,●●
5,ストレート,147km/h,ファウル,松本 竜也,山崎 晃大朗,4-5,●●
6,カーブ,-,遊ゴロ,松本 竜也,山崎 晃大朗,4-5,●●
1,ストレート,148km/h,空振り,松本 竜也,キブレハン,4-5,●●●
2,カットボール,135km/h,ボール,松本 竜也,キブレハン,4-5,●●●
3,ストレート,147km/h,二飛,松本 竜也,キブレハン,4-5,●●●
1,ストレート,-,中安,マクガフ,長野 久義,4-5,
1,ストレート,151km/h,見逃し,マクガフ,松山 竜平,4-5,●
2,ストレート,149km/h,三邪飛,マクガフ,松山 竜平,4-5,●
1,ストレート,151km/h,ボール,マクガフ,中村 健人,4-5,●
1,ストレート,151km/h,ボール,マクガフ,中村 健人,4-5,●●
2,ストレート,-,捕邪飛,マクガフ,中村 健人,4-5,●●
1,ストレート,151km/h,ファウル,マクガフ,羽月 隆太郎,4-5,●●●
2,ストレート,151km/h,ボール,マクガフ,羽月 隆太郎,4-5,●●●
3,スプリット,142km/h,空振り,マクガフ,羽月 隆太郎,4-5,●●●
4,カットボール,-,一ゴロ,マクガフ,羽月 隆太郎,4-5,●●●
1,ツーシーム,145km/h,ボール,青柳 晃洋,桑原 将志,0-0,
2,ツーシーム,147km/h,ボール,青柳 晃洋,桑原 将志,0-0,
3,ツーシーム,146km/h,ボール,青柳 晃洋,桑原 将志,0-0,
4,ツーシーム,138km/h,四球,青柳 晃洋,桑原 将志,0-0,
1,スライダー,125km/h,ボール  [セーフティバント、バント構え],青柳 晃洋,神里 和毅,0-0,
2,ツーシーム,146km/h,ボール  [セーフティバント、バント構え、ワンバウンド],青柳 晃洋,神里 和毅,0-0,
3,ツーシーム,146km/h,見逃し,青柳 晃洋,神里 和毅,0-0,
4,ツーシーム,144km/h,ボール,青柳 晃洋,神里 和毅,0-0,
5,ツーシーム,145km/h,見逃し,青柳 晃洋,神里 和毅,0-0,
6,ツーシーム,146km/h,ファウル  [ランエンドヒット],青柳 晃洋,神里 和毅,0-0,
7,ツーシーム,146km/h,ファウル  [ランエンドヒット],青柳 晃洋,神里 和毅,0-0,
8,ツーシーム,146km/h,左安  [ランエンドヒット],青柳 晃洋,神里 和毅,0-0,
1,シンカー,131km/h,ボール,青柳 晃洋,佐野 恵太,1-0,●●
2,ツーシーム,145km/h,見逃し,青柳 晃洋,佐野 恵太,1-0,●●
3,シンカー,130km/h,ボール,青柳 晃洋,佐野 恵太,1-0,●●
4,ツーシーム,142km/h,二併打,青柳 晃洋,佐野 恵太,1-0,●●
1,スライダー,125km/h,ボール,青柳 晃洋,牧 秀悟,1-0,●●●
2,スライダー,124km/h,見逃し,青柳 晃洋,牧 秀悟,1-0,●●●
3,ツーシーム,146km/h,ボール,青柳 晃洋,牧 秀悟,1-0,●●●
4,ツーシーム,147km/h,見逃し,青柳 晃洋,牧 秀悟,1-0,●●●
5,ツーシーム,146km/h,ファウル,青柳 晃洋,牧 秀悟,1-0,●●●
6,ツーシーム,146km/h,遊ゴロ,青柳 晃洋,牧 秀悟,1-0,●●●
1,ストレート,145km/h,ファウル,今永 昇太,中野 拓夢,1-0,●
2,カットボール,134km/h,見逃し,今永 昇太,中野 拓夢,1-0,●
3,スライダー,130km/h,ボール,今永 昇太,中野 拓夢,1-0,●
4,ストレート,144km/h,ボール,今永 昇太,中野 拓夢,1-0,●
5,カットボール,132km/h,ファウル,今永 昇太,中野 拓夢,1-0,●
6,ストレート,149km/h,ファウル,今永 昇太,中野 拓夢,1-0,●
7,ストレート,145km/h,見三振,今永 昇太,中野 拓夢,1-0,●
1,カーブ,118km/h,ボール  [ワンバウンド],今永 昇太,島田 海吏,1-0,●●
2,ストレート,150km/h,見逃し,今永 昇太,島田 海吏,1-0,●●
3,カーブ,117km/h,ファウル,今永 昇太,島田 海吏,1-0,●●
4,チェンジアップ,126km/h,ボール  [ワンバウンド],今永 昇太,島田 海吏,1-0,●●
5,カーブ,116km/h,ボール,今永 昇太,島田 海吏,1-0,●●
6,ストレート,147km/h,空三振,今永 昇太,島田 海吏,1-0,●●
1,ストレート,147km/h,ファウル,今永 昇太,近本 光司,1-0,●●●
2,ストレート,144km/h,ファウル,今永 昇太,近本 光司,1-0,●●●
3,ストレート,145km/h,左飛,今永 昇太,近本 光司,1-0,●●●
1,ツーシーム,143km/h,ボール  [セーフティバント、バント構え],青柳 晃洋,楠本 泰史,1-0,●
2,ツーシーム,142km/h,見逃し,青柳 晃洋,楠本 泰史,1-0,●
3,ツーシーム,144km/h,遊ゴロ,青柳 晃洋,楠本 泰史,1-0,●
1,ツーシーム,145km/h,見逃し,青柳 晃洋,戸柱 恭孝,1-0,●
2,シンカー,130km/h,ボール,青柳 晃洋,戸柱 恭孝,1-0,●
3,シンカー,132km/h,左２,青柳 晃洋,戸柱 恭孝,1-0,●
1,ツーシーム,143km/h,見逃し,青柳 晃洋,柴田 竜拓,1-0,●●
2,ツーシーム,144km/h,空振り,青柳 晃洋,柴田 竜拓,1-0,●●
3,ツーシーム,142km/h,ボール,青柳 晃洋,柴田 竜拓,1-0,●●
4,ツーシーム,145km/h,ファウル,青柳 晃洋,柴田 竜拓,1-0,●●
5,ツーシーム,144km/h,ボール  [ハーフスイング],青柳 晃洋,柴田 竜拓,1-0,●●
6,スライダー,125km/h,ファウル  [自打球],青柳 晃洋,柴田 竜拓,1-0,●●
7,ツーシーム,143km/h,二ゴロ,青柳 晃洋,柴田 竜拓,1-0,●●
1,ツーシーム,144km/h,ボール,青柳 晃洋,森 敬斗,1-0,●●
2,スライダー,122km/h,ボール,青柳 晃洋,森 敬斗,1-0,●●
3,ツーシーム,145km/h,ボール,青柳 晃洋,森 敬斗,1-0,●●
1,シンカー,131km/h,見逃し,青柳 晃洋,今永 昇太,2-0,●●
2,ツーシーム,144km/h,ボール,青柳 晃洋,今永 昇太,2-0,●●
3,ツーシーム,143km/h,左安,青柳 晃洋,今永 昇太,2-0,●●
1,スライダー,126km/h,ボール,青柳 晃洋,桑原 将志,2-0,●●●
2,スライダー,124km/h,見逃し,青柳 晃洋,桑原 将志,2-0,●●●
3,カットボール,135km/h,ボール,青柳 晃洋,桑原 将志,2-0,●●●
4,ツーシーム,143km/h,二飛  [詰り],青柳 晃洋,桑原 将志,2-0,●●●
1,ストレート,149km/h,ファウル,今永 昇太,佐藤 輝明,2-0,●
2,ストレート,144km/h,ボール  [高めのつり球を要求],今永 昇太,佐藤 輝明,2-0,●
3,カットボール,130km/h,空振り,今永 昇太,佐藤 輝明,2-0,●
4,ストレート,144km/h,ファウル,今永 昇太,佐藤 輝明,2-0,●
5,カットボール,134km/h,空三振,今永 昇太,佐藤 輝明,2-0,●
1,カーブ,117km/h,見逃し,今永 昇太,大山 悠輔,2-0,●●
2,チェンジアップ,134km/h,空振り,今永 昇太,大山 悠輔,2-0,●●
3,チェンジアップ,134km/h,ボール  [ワンバウンド],今永 昇太,大山 悠輔,2-0,●●
4,ストレート,147km/h,ファウル,今永 昇太,大山 悠輔,2-0,●●
5,チェンジアップ,135km/h,ファウル  [自打球],今永 昇太,大山 悠輔,2-0,●●
6,チェンジアップ,133km/h,ボール  [ワンバウンド],今永 昇太,大山 悠輔,2-0,●●
7,チェンジアップ,132km/h,ファウル,今永 昇太,大山 悠輔,2-0,●●
8,ストレート,143km/h,見三振  [構えたところにズバリ],今永 昇太,大山 悠輔,2-0,●●
1,チェンジアップ,136km/h,空振り,今永 昇太,原口 文仁,2-0,●●
2,カーブ,117km/h,ボール  [ワンバウンド],今永 昇太,原口 文仁,2-0,●●
3,チェンジアップ,129km/h,空振り,今永 昇太,原口 文仁,2-0,●●
4,ストレート,148km/h,ボール  [ハーフスイング],今永 昇太,原口 文仁,2-0,●●
5,ストレート,150km/h,ボール,今永 昇太,原口 文仁,2-0,●●
6,ストレート,145km/h,ファウル,今永 昇太,原口 文仁,2-0,●●
7,チェンジアップ,134km/h,四球  [ワンバウンド],今永 昇太,原口 文仁,2-0,●●
1,カットボール,132km/h,右飛,今永 昇太,木浪 聖也,2-0,●●●
1,カットボール,135km/h,ボール,青柳 晃洋,神里 和毅,2-0,●
2,ストレート,141km/h,見逃し,青柳 晃洋,神里 和毅,2-0,●
3,ストレート,145km/h,見逃し,青柳 晃洋,神里 和毅,2-0,●
4,ストレート,146km/h,ファウル,青柳 晃洋,神里 和毅,2-0,●
5,スライダー,126km/h,ボール,青柳 晃洋,神里 和毅,2-0,●
6,ストレート,146km/h,左飛,青柳 晃洋,神里 和毅,2-0,●
1,スライダー,123km/h,ボール,青柳 晃洋,佐野 恵太,2-0,●
2,カットボール,136km/h,ボール,青柳 晃洋,佐野 恵太,2-0,●
3,ストレート,145km/h,ボール,青柳 晃洋,佐野 恵太,2-0,●
4,ストレート,145km/h,見逃し,青柳 晃洋,佐野 恵太,2-0,●
5,ツーシーム,143km/h,四球,青柳 晃洋,佐野 恵太,2-0,●
1,カットボール,134km/h,ボール,青柳 晃洋,牧 秀悟,2-0,●
2,カットボール,137km/h,見逃し,青柳 晃洋,牧 秀悟,2-0,●
3,カットボール,130km/h,ファウル,青柳 晃洋,牧 秀悟,2-0,●
4,カットボール,133km/h,ファウル  [止めたバットに当たる],青柳 晃洋,牧 秀悟,2-0,●
5,ツーシーム,142km/h,右安  [詰り],青柳 晃洋,牧 秀悟,2-0,●
1,スライダー,120km/h,見逃し,青柳 晃洋,楠本 泰史,2-0,●●
2,ツーシーム,143km/h,ボール,青柳 晃洋,楠本 泰史,2-0,●●
3,ツーシーム,142km/h,ボール,青柳 晃洋,楠本 泰史,2-0,●●
4,カットボール,135km/h,空振り,青柳 晃洋,楠本 泰史,2-0,●●
5,ストレート,143km/h,中飛,青柳 晃洋,楠本 泰史,2-0,●●
1,シンカー,130km/h,見逃し,青柳 晃洋,戸柱 恭孝,3-0,●●
2,ツーシーム,142km/h,ボール,青柳 晃洋,戸柱 恭孝,3-0,●●
3,スライダー,124km/h,左安,青柳 晃洋,戸柱 恭孝,3-0,●●
1,ツーシーム,141km/h,ボール,青柳 晃洋,柴田 竜拓,3-0,●●●
2,カットボール,133km/h,見逃し,青柳 晃洋,柴田 竜拓,3-0,●●●
3,シンカー,130km/h,三飛,青柳 晃洋,柴田 竜拓,3-0,●●●
1,ストレート,146km/h,遊飛,今永 昇太,坂本 誠志郎,3-0,●
1,ストレート,145km/h,見逃し,今永 昇太,青柳 晃洋,3-0,●●
2,ストレート,143km/h,空振り,今永 昇太,青柳 晃洋,3-0,●●
3,カーブ,122km/h,見三振,今永 昇太,青柳 晃洋,3-0,●●
1,ストレート,147km/h,見逃し,今永 昇太,中野 拓夢,3-0,●●
2,チェンジアップ,131km/h,空振り,今永 昇太,中野 拓夢,3-0,●●
