投球数,球種,球速,結果,投手,打者,スコア,投球コース
6,フォーク,138km/h,遊失  [バウンド高い、送球がバウンド、悔しがる],杉山 一樹,石岡 諒太,0-3,top:144px; left:100px;
1,ストレート,152km/h,ボール,杉山 一樹,宗 佑磨,0-3,top:25px; left:118px;
2,フォーク,140km/h,ボール,杉山 一樹,宗 佑磨,0-3,top:164px; left:102px;
3,カットボール,140km/h,見逃し,杉山 一樹,宗 佑磨,0-3,top:141px; left:94px;
4,フォーク,139km/h,空振り,杉山 一樹,宗 佑磨,0-3,top:164px; left:63px;
5,ストレート,153km/h,ボール,杉山 一樹,宗 佑磨,0-3,top:13px; left:134px;
6,フォーク,137km/h,四球  [ワンバウンド],杉山 一樹,宗 佑磨,0-3,top:172px; left:38px;
1,ストレート,147km/h,遊ゴロ,杉山 一樹,中川 圭太,0-3,top:92px; left:83px;
1,ストレート,142km/h,ファウル,宮城 大弥,リチャード,0-3,top:73px; left:80px;
2,ストレート,140km/h,ボール,宮城 大弥,リチャード,0-3,top:51px; left:135px;
3,チェンジアップ,126km/h,空振り,宮城 大弥,リチャード,0-3,top:145px; left:80px;
4,ストレート,145km/h,右安,宮城 大弥,リチャード,0-3,top:116px; left:36px;
1,スライダー,129km/h,ボール,宮城 大弥,甲斐 拓也,0-3,top:165px; left:116px;
2,スライダー,126km/h,ファウル,宮城 大弥,甲斐 拓也,0-3,top:131px; left:54px;
3,ストレート,142km/h,左安,宮城 大弥,甲斐 拓也,0-3,top:100px; left:93px;
1,スライダー,132km/h,ファウル,宮城 大弥,野村 勇,3-3,top:102px; left:80px;
2,ストレート,143km/h,ボール,宮城 大弥,野村 勇,3-3,top:85px; left:17px;
3,チェンジアップ,131km/h,左本,宮城 大弥,野村 勇,3-3,top:127px; left:68px;
1,ストレート,145km/h,見逃し,宮城 大弥,佐藤 直樹,3-3,top:93px; left:92px;
2,チェンジアップ,122km/h,投ゴロ  [バットの先],宮城 大弥,佐藤 直樹,3-3,top:156px; left:48px;
1,スライダー,128km/h,ボール,宮城 大弥,柳田 悠岐,3-3,top:165px; left:122px;
