投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,140km/h,一ゴロ,東 克樹,小園 海斗,3-1,top:72px; left:72px;
1,カーブ,118km/h,見逃し,東 克樹,松山 竜平,3-1,top:58px; left:97px;
2,カットボール,132km/h,ボール,東 克樹,松山 竜平,3-1,top:156px; left:124px;
3,ストレート,141km/h,ファウル,東 克樹,松山 竜平,3-1,top:88px; left:44px;
4,ストレート,142km/h,ファウル,東 克樹,松山 竜平,3-1,top:93px; left:110px;
5,ストレート,140km/h,右安,東 克樹,松山 竜平,3-1,top:69px; left:45px;
1,カットボール,132km/h,ボール  [ハーフスイング],東 克樹,坂倉 将吾,3-1,top:155px; left:124px;
2,ストレート,142km/h,見逃し,東 克樹,坂倉 将吾,3-1,top:51px; left:67px;
3,ストレート,143km/h,左飛,東 克樹,坂倉 将吾,3-1,top:47px; left:87px;
1,チェンジアップ,125km/h,ボール,東 克樹,會澤 翼,3-1,top:19px; left:16px;
2,シンカー,123km/h,空振り  [ファウルチップ],東 克樹,會澤 翼,3-1,top:130px; left:100px;
3,ストレート,140km/h,右安,東 克樹,會澤 翼,3-1,top:74px; left:17px;
1,チェンジアップ,126km/h,空振り,東 克樹,末包 昇大,3-1,top:158px; left:72px;
2,ストレート,142km/h,ボール,東 克樹,末包 昇大,3-1,top:158px; left:13px;
3,ストレート,142km/h,見逃し,東 克樹,末包 昇大,3-1,top:78px; left:24px;
4,ストレート,-,空三振,東 克樹,末包 昇大,3-1,top:74px; left:92px;
1,スライダー,125km/h,ボール,大瀬良 大地,柴田 竜拓,3-1,top:20px; left:36px;
2,ストレート,146km/h,ボール,大瀬良 大地,柴田 竜拓,3-1,top:24px; left:102px;
3,ストレート,144km/h,ボール,大瀬良 大地,柴田 竜拓,3-1,top:160px; left:33px;
4,ストレート,144km/h,四球,大瀬良 大地,柴田 竜拓,3-1,top:21px; left:122px;
1,ストレート,143km/h,見逃し,大瀬良 大地,戸柱 恭孝,3-1,top:118px; left:109px;
2,シュート,136km/h,見逃し,大瀬良 大地,戸柱 恭孝,3-1,top:82px; left:109px;
3,ストレート,144km/h,ファウル,大瀬良 大地,戸柱 恭孝,3-1,top:84px; left:119px;
4,カットボール,136km/h,ファウル,大瀬良 大地,戸柱 恭孝,3-1,top:116px; left:60px;
5,チェンジアップ,125km/h,ボール,大瀬良 大地,戸柱 恭孝,3-1,top:24px; left:126px;
6,カットボール,135km/h,ファウル,大瀬良 大地,戸柱 恭孝,3-1,top:159px; left:68px;
7,ストレート,144km/h,ファウル,大瀬良 大地,戸柱 恭孝,3-1,top:24px; left:120px;
8,フォーク,136km/h,空三振,大瀬良 大地,戸柱 恭孝,3-1,top:89px; left:122px;
1,カットボール,137km/h,ボール  [バント構え],大瀬良 大地,東 克樹,3-1,top:157px; left:105px;
2,ストレート,143km/h,空振り  [バント空振り],大瀬良 大地,東 克樹,3-1,top:24px; left:123px;
3,ストレート,145km/h,ファウル  [バントファウル],大瀬良 大地,東 克樹,3-1,top:62px; left:82px;
4,カットボール,137km/h,ボール  [バント構え],大瀬良 大地,東 克樹,3-1,top:159px; left:28px;
5,カットボール,138km/h,遊ゴロ  [バスター、ダイビングキャッチ、好プレイ],大瀬良 大地,東 克樹,3-1,top:138px; left:94px;
1,ストレート,145km/h,見逃し,大瀬良 大地,桑原 将志,3-1,top:72px; left:40px;
2,ストレート,141km/h,ファウル,大瀬良 大地,桑原 将志,3-1,top:35px; left:72px;
3,カットボール,137km/h,ボール,大瀬良 大地,桑原 将志,3-1,top:155px; left:20px;
4,スライダー,126km/h,空三振  [ハーフスイング],大瀬良 大地,桑原 将志,3-1,top:18px; left:84px;
1,ストレート,138km/h,ファウル,東 克樹,上本 崇司,3-1,top:96px; left:24px;
2,シンカー,114km/h,ボール,東 克樹,上本 崇司,3-1,top:13px; left:73px;
3,チェンジアップ,125km/h,ボール  [ワンバウンド],東 克樹,上本 崇司,3-1,top:164px; left:72px;
4,ストレート,138km/h,ボール,東 克樹,上本 崇司,3-1,top:152px; left:29px;
5,ストレート,137km/h,四球,東 克樹,上本 崇司,3-1,top:22px; left:20px;
1,ストレート,139km/h,捕犠打,砂田 毅樹,大瀬良 大地,3-1,top:44px; left:63px;
1,スライダー,124km/h,見逃し,砂田 毅樹,西川 龍馬,3-1,top:74px; left:104px;
2,シンカー,132km/h,ボール,砂田 毅樹,西川 龍馬,3-1,top:159px; left:17px;
3,カットボール,136km/h,二安  [送球がバウンド],砂田 毅樹,西川 龍馬,3-1,top:84px; left:109px;
1,ストレート,137km/h,空振り  [セーフティスクイズ、バント空振り、ファウルチップ],砂田 毅樹,菊池 涼介,4-1,top:55px; left:100px;
2,ストレート,140km/h,一犠野  [セーフティスクイズ],砂田 毅樹,菊池 涼介,4-1,top:50px; left:97px;
