投球数,球種,球速,結果,投手,打者,スコア,投球コース
3,ストレート,144km/h,ボール,三浦 銀二,大盛 穂,9-3,top:28px; left:130px;
4,ストレート,143km/h,ファウル  [ランエンドヒット],三浦 銀二,大盛 穂,9-3,top:110px; left:35px;
5,ストレート,143km/h,ファウル,三浦 銀二,大盛 穂,9-3,top:23px; left:40px;
6,ストレート,142km/h,ファウル,三浦 銀二,大盛 穂,9-3,top:88px; left:107px;
7,スライダー,129km/h,ボール  [ワンバウンド],三浦 銀二,大盛 穂,9-3,top:168px; left:12px;
8,ストレート,143km/h,空三振,三浦 銀二,大盛 穂,9-3,top:40px; left:60px;
1,ストレート,147km/h,ボール,島内 颯太郎,楠本 泰史,9-3,top:73px; left:125px;
2,ストレート,148km/h,空振り,島内 颯太郎,楠本 泰史,9-3,top:41px; left:74px;
3,ストレート,148km/h,ファウル,島内 颯太郎,楠本 泰史,9-3,top:56px; left:78px;
4,ストレート,152km/h,ボール,島内 颯太郎,楠本 泰史,9-3,top:8px; left:72px;
5,ストレート,149km/h,ファウル,島内 颯太郎,楠本 泰史,9-3,top:46px; left:27px;
6,ストレート,150km/h,三邪飛,島内 颯太郎,楠本 泰史,9-3,top:61px; left:69px;
1,ストレート,150km/h,ボール,島内 颯太郎,牧 秀悟,9-3,top:19px; left:75px;
2,ストレート,150km/h,ファウル,島内 颯太郎,牧 秀悟,9-3,top:86px; left:40px;
3,チェンジアップ,128km/h,ボール  [ワンバウンド],島内 颯太郎,牧 秀悟,9-3,top:163px; left:63px;
4,ストレート,149km/h,二ゴロ,島内 颯太郎,牧 秀悟,9-3,top:80px; left:74px;
1,チェンジアップ,125km/h,ボール,島内 颯太郎,宮﨑 敏郎,9-3,top:156px; left:94px;
2,ストレート,149km/h,ボール,島内 颯太郎,宮﨑 敏郎,9-3,top:82px; left:122px;
3,ストレート,149km/h,ファウル,島内 颯太郎,宮﨑 敏郎,9-3,top:100px; left:34px;
4,ストレート,150km/h,ボール  [ハーフスイング],島内 颯太郎,宮﨑 敏郎,9-3,top:153px; left:28px;
5,ストレート,149km/h,見逃し,島内 颯太郎,宮﨑 敏郎,9-3,top:140px; left:27px;
6,ストレート,151km/h,投ゴロ,島内 颯太郎,宮﨑 敏郎,9-3,top:99px; left:89px;
1,ストレート,141km/h,左安,三浦 銀二,上本 崇司,9-3,top:40px; left:74px;
1,カーブ,115km/h,見逃し,三浦 銀二,宇草 孔基,9-3,top:93px; left:80px;
2,チェンジアップ,126km/h,ファウル,三浦 銀二,宇草 孔基,9-3,top:152px; left:68px;
3,チェンジアップ,128km/h,二ゴロ  [併殺崩れ],三浦 銀二,宇草 孔基,9-3,top:132px; left:100px;
1,カーブ,118km/h,ボール,三浦 銀二,西川 龍馬,9-3,top:80px; left:123px;
2,スライダー,129km/h,ボール,三浦 銀二,西川 龍馬,9-3,top:163px; left:72px;
