投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,チェンジアップ,128km/h,空振り,則本 昂大,髙部 瑛斗,0-0,top:165px; left:62px;
2,ストレート,145km/h,ファウル,則本 昂大,髙部 瑛斗,0-0,top:59px; left:50px;
3,ストレート,145km/h,ファウル,則本 昂大,髙部 瑛斗,0-0,top:42px; left:77px;
4,ストレート,148km/h,ボール,則本 昂大,髙部 瑛斗,0-0,top:47px; left:127px;
5,チェンジアップ,133km/h,ボール  [ワンバウンド],則本 昂大,髙部 瑛斗,0-0,top:167px; left:78px;
6,カットボール,138km/h,中飛,則本 昂大,髙部 瑛斗,0-0,top:99px; left:40px;
1,ストレート,147km/h,ファウル,則本 昂大,マーティン,0-0,top:39px; left:77px;
2,ストレート,148km/h,ボール,則本 昂大,マーティン,0-0,top:46px; left:15px;
3,ストレート,142km/h,見逃し,則本 昂大,マーティン,0-0,top:129px; left:48px;
4,ストレート,149km/h,左飛,則本 昂大,マーティン,0-0,top:54px; left:103px;
1,カーブ,118km/h,見逃し,則本 昂大,中村 奨吾,0-0,top:59px; left:88px;
2,スライダー,134km/h,ボール  [ワンバウンド],則本 昂大,中村 奨吾,0-0,top:167px; left:15px;
3,チェンジアップ,128km/h,ボール,則本 昂大,中村 奨吾,0-0,top:150px; left:16px;
4,カーブ,122km/h,ボール  [ワンバウンド],則本 昂大,中村 奨吾,0-0,top:171px; left:19px;
5,カットボール,139km/h,四球,則本 昂大,中村 奨吾,0-0,top:22px; left:74px;
1,チェンジアップ,133km/h,見逃し,則本 昂大,レアード,0-0,top:133px; left:64px;
2,ストレート,144km/h,ボール  [高めのつり球を要求],則本 昂大,レアード,0-0,top:12px; left:44px;
3,ストレート,145km/h,見逃し,則本 昂大,レアード,0-0,top:116px; left:47px;
4,フォーク,138km/h,ファウル,則本 昂大,レアード,0-0,top:120px; left:83px;
5,ストレート,146km/h,ボール  [ハーフスイング],則本 昂大,レアード,0-0,top:16px; left:35px;
6,ストレート,145km/h,ファウル,則本 昂大,レアード,0-0,top:38px; left:100px;
7,スライダー,129km/h,ボール  [ランエンドヒット、送球できず],則本 昂大,レアード,0-0,top:161px; left:17px;
1,チェンジアップ,133km/h,見逃し,則本 昂大,レアード,0-0,top:133px; left:64px;
2,ストレート,144km/h,ボール  [高めのつり球を要求],則本 昂大,レアード,0-0,top:12px; left:44px;
3,ストレート,145km/h,見逃し,則本 昂大,レアード,0-0,top:116px; left:47px;
4,フォーク,138km/h,ファウル,則本 昂大,レアード,0-0,top:120px; left:83px;
5,ストレート,146km/h,ボール  [ハーフスイング],則本 昂大,レアード,0-0,top:16px; left:35px;
6,ストレート,145km/h,ファウル,則本 昂大,レアード,0-0,top:38px; left:100px;
7,スライダー,129km/h,ボール  [ランエンドヒット、送球できず],則本 昂大,レアード,0-0,top:161px; left:17px;
